Country                       Pollution             Healthcare            Water       Life
Madagascar                    19.09647319           3.04135502            50.6        65.133003
Malawi                        26.62499698           11.37795606           88.4        61.931999
Malaysia                      15.53289658           4.16907804            98.2        74.975998
Maldives                      28.42403633           13.73352009           98.6        76.782997
Mali                          47.91998492           6.86216649            75          57.007
Malta                         14.50619675           9.74992027            100         80.530998
Mauritania                    82.94711207           3.77269904            57.9        62.907001
Mauritius                     14.61418025           4.80954464            99.9        74.394997
Mexico                        20.44662996           6.29642103            96.1        76.752998
Moldova                       20.66418945           10.32365569           88.4        71.258003
Mongolia                      22.93014116           4.73034173            64.2        68.847
Montenegro                    22.53063554           6.41654268            99.6        76.711998
Morocco                       21.37583231           5.90777806            85.3        75.308998
Mozambique                    19.82030792           6.97558186            50.9        57.098999
Myanmar                       52.44929971           2.27575459            80.5        66.285004
Namibia                       21.79781899           8.92868766            90.3        62.980999
Nepal                         71.87285903           5.797226              90.7        69.511002
Netherlands                   14.8193533            10.89729305           100         81.555
New Zealand                   5.516300044           11.0296101            100         81.57
Nicaragua                     28.24734132           9.04013941            86.9        74.884003
Niger                         71.8987133            5.82129922            58.1        59.228001
Nigeria                       41.56874429           3.66879844            67.6        52.549
Norway                        8.875483039           9.71971755            100         81.856003
Oman                          55.16104736           3.55393969            93.4        76.578003
Pakistan                      64.27980551           2.61391631            91.3        66.139
Panama                        12.28873475           8.0257236             94.4        77.610001
Papua New Guinea              14.00465877           4.26357082            40          65.230003
Paraguay                      15.30114462           9.81442131            96.6        72.913002
Peru                          28.41137653           5.47303468            86.3        74.517998
Philippines                   23.5015133            4.7099852             91.5        68.813004
Poland                        24.80509571           6.35024637            98.3        77.264
Portugal                      9.646636615           9.50107564            100         80.827003
Qatar                         107.2304966           2.18706236            100         77.888
Romania                       19.43552428           5.56500913            100         75.122002
Russia                        16.25309454           7.07040825            96.9        70.679001
Saint Lucia                   14.33470058           6.71904145            96.3        75.116997
Saint Vincent / Grenadines    14.38980801           8.63023974            95.1        72.934998
Samoa                         3.675986518           7.21510906            99          74.503998
Sao Tome and Principe         13.52002205           8.35346606            97.1        66.361
Saudi Arabia                  115.8722779           4.68408481            97          74.234001
Senegal                       35.95564574           4.66497201            77.8        66.375999
Serbia                        20.626713             10.36881192           99.2        74.893997
Seychelles                    14.23870465           3.36981689            95.7        73.162003
Sierra Leone                  22.11248767           11.08990224           61.6        50.951
Singapore                     18.0980605            4.92279194            100         82.662003
Slovakia                      19.76513025           8.05404755            100         76.550003
Slovenia                      18.74940754           9.23388628            99.5        80.610001
Solomon Islands               6.175357034           5.05106254            80.7        70.112999
South Africa                  29.43778161           8.79698456            92.8        60.993
South Sudan                   33.95689759           2.73842073            58.7        55.817001
Spain                         9.751187601           9.02988651            100         82.802002
Sri Lanka                     27.96620125           3.50335011            95.6        74.905998
Sudan                         52.4613465            8.42877471            55.5        64.001999
Suriname                      19.25716093           5.68746988            94.8        71.138
Swaziland                     21.65751713           9.25193954            74.1        56.286999
Sweden                        5.860588073           11.92983965           100         82.136002
Switzerland                   12.37209228           11.65926872           100         82.968002
Syria                         39.87796922           3.25453108            90.1        69.817001
Tajikistan                    50.26626445           6.880884              73.7        70.690002
Tanzania                      23.46443391           5.58011591            55.5        64.163002
Thailand                      25.50889131           4.12216448            97.8        74.894997
Timor                         18.84312794           1.47530345            71.7        68.285004
Togo                          35.46667226           5.24687674            62.4        59.601002
Tonga                         4.00741979            5.17677064            99.6        72.732002
Trinidad and Tobago           13.6742168            5.93319696            95.1        70.426003
Tunisia                       39.94465035           7.00385794            97.7        75.334999
Turkey                        34.71083264           5.41495949            100         75.238998
Uganda                        61.38177704           7.22213686            78.9        59.223999
Ukraine                       18.77806422           7.09573611            96.3        71.490997
United Arab Emirates          67.17545852           3.64398564            99.6        76.947998
United Kingdom                12.36645562           9.11547172            100         81.234001
United States                 8.498542509           17.14075435           99.2        79.099998
Uruguay                       11.55973144           8.5814914             99.6        77.190002
Vanuatu                       7.894044215           5.02357493            93.3        71.709
Venezuela                     23.70766924           5.2567025             93.1        74.195999
Vietnam                       27.98099513           7.06677833            96.4        75.855003
Zambia                        27.16620177           4.98676469            64.6        60.775002
Zimbabwe                      23.06220603           6.43947119            77.1        59.360001
